Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP
1. Farmer Russell,D,8,7,32.3,520,2025-07-19,CANN,5,30.95,29.8,29.8,5.77,16.25,Italian Stallion,87788,7.0
"",D,2,1,32.0,520,2025-07-12,CANN,5,30.38,30.31,29.66,5.52,1.0,Slick Angel,21112,3.3
"",D,1,1,32.4,400,2025-06-27,MAND,FFA,22.34,22.34,22.31,6.3,2.0,What A Ripper,211,2.15
"",D,7,2,32.3,400,2025-06-20,MAND,OPEN,23.2,22.61,22.59,6.39,8.25,Sunset Ali,467,2.6
"",D,2,7,32.1,400,2025-06-13,MAND,FFA,22.7,22.67,22.31,6.38,0.5,CRACKERJACK SCUD,522,4.4
"",D,1,2,32.0,400,2025-07-04,MAND,FFA,22.23,22.23,22.23,6.25,2.25,Sunset Ali,111,3.1
"",D,1,4,32.1,400,2025-05-30,MAND,FFA,22.28,22.28,22.28,6.23,1.5,Sunset Ali,111,6.5
"",D,5,3,32.1,400,2025-07-25,MAND,FFA,22.64,22.19,22.19,6.36,6.25,ASTON NERO,555,13.0
"",D,1,2,32.7,297,2025-06-09,NOR,FFA,17.05,17.05,16.93,,0.75,Fire Fly Toukley,211,1.65
"",D,3,4,32.1,297,2025-07-07,NOR,FFA,17.15,17.06,17.06,,1.25,Simplicity,543,3.3
2. Common Man,D,1,2,32.3,520,2025-02-26,CANN,5,30.08,30.08,29.31,5.58,1.25,FLEETWOOD KAZAK,21111,2.7
"",D,1,2,32.1,520,2025-03-05,CANN,5,29.85,29.85,29.56,5.49,3.25,Sophie Keeping,11111,2.75
"",D,4,1,32.1,520,2025-03-15,CANN,5,30.25,29.84,29.43,5.64,5.75,Kuro,54444,1.55
"",D,3,7,32.2,520,2025-03-22,CANN,5,30.08,30.01,29.75,5.63,1.0,Lady Sherwood,75543,9.0
"",D,8,6,32.8,520,2025-07-12,CANN,5,30.71,30.11,29.66,5.72,8.5,Premium Star,88888,26.0
"",D,5,5,31.8,520,2025-04-12,CANN,5,30.17,29.94,29.85,5.61,3.25,Timmy Tesla,76665,14.0
"",D,4,2,31.9,520,2025-04-19,CANN,4/5,30.43,29.81,29.66,5.68,8.75,OREGON DURANT,66664,2.9
"",D,7,1,32.6,520,2025-06-28,CANN,5,30.59,29.91,29.52,5.74,9.75,Linguine Monelli,78877,5.5
"",D,4,6,32.3,520,2025-03-29,CANN,5,30.04,29.67,29.6,5.55,5.25,Premium Star,53444,12.0
"",D,3,1,32.5,400,2025-07-25,MAND,4,22.86,22.67,22.19,6.42,2.5,Lil Bit Warped,443,5.0
4. ASTON MADDOX,D,1,8,28.5,400,2025-06-27,MAND,4/5,22.55,22.55,22.31,6.27,0.5,Our Benson,111,4.4
"",D,1,4,28.6,381,2025-06-14,CANN,5,21.65,21.65,21.65,6.45,5.25,Flash Code,1111,1.85
"",D,1,5,28.7,381,2025-06-21,CANN,5,22.04,22.04,22.04,6.57,2.5,ASTON KENNEDY,2111,2.05
"",D,1,5,28.9,300,2025-05-15,MAND,FFA,17.02,17.02,17.02,6.57,2.0,Sunset Bubbles,11,4.0
"",D,1,2,28.6,300,2025-05-08,MAND,4/5,16.91,16.91,16.91,6.54,1.5,Zipping Cagney,11,2.4
"",D,4,4,28.5,300,2025-07-17,MAND,FFA,17.55,17.11,17.0,6.92,6.25,Princess Mila,84,3.4
"",D,3,7,28.9,297,2025-06-09,NOR,OPEN,17.26,16.93,16.93,,4.75,Night Lighter,443,5.0
"",D,1,6,29.0,297,2025-05-26,NOR,FFA,17.22,17.22,17.22,,0.75,Ichabod Mudd,111,3.0
"",D,2,3,29.1,297,2025-05-19,NOR,FFA,17.41,17.1,17.1,,4.25,Night Lighter,322,5.5
